loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8924876403808595,7.925191879272461,6.533333333333334e-06,0.2,50,,,,,,,,,,
0.7093587493896485,3.4517006874084473,1.3200000000000002e-05,0.4,100,,,,,,,,,,
0.1700832176208496,1.6237608194351196,1.9866666666666667e-05,0.6,150,,,,,,,,,,
0.07792500972747803,0.5244606137275696,1.9274074074074076e-05,0.8,200,,,,,,,,,,
0.03473721742630005,1.617246150970459,1.8533333333333334e-05,1.0,250,,,,,,,,,,
,,,1.0,250,0.06167985498905182,0.9357853482062106,69.2466,7.221,0.91,,,,,
0.029113681316375734,1.4343410730361938,1.7792592592592596e-05,1.2,300,,,,,,,,,,
0.02092874526977539,1.2667384147644043,1.7051851851851854e-05,1.4,350,,,,,,,,,,
0.024780709743499756,1.31981360912323,1.6311111111111113e-05,1.6,400,,,,,,,,,,
0.01975802183151245,3.717593193054199,1.557037037037037e-05,1.8,450,,,,,,,,,,
0.012572283744812012,0.0681404247879982,1.4829629629629631e-05,2.0,500,,,,,,,,,,
,,,2.0,500,0.05474004149436951,0.9529590288315629,128.0437,3.905,0.492,,,,,
0.010779777765274048,0.013788547366857529,1.408888888888889e-05,2.2,550,,,,,,,,,,
0.009051846861839295,0.036590274423360825,1.334814814814815e-05,2.4,600,,,,,,,,,,
0.014121520519256591,2.277581214904785,1.2607407407407408e-05,2.6,650,,,,,,,,,,
0.006395048499107361,12.342174530029297,1.186666666666667e-05,2.8,700,,,,,,,,,,
0.00898971438407898,0.377981573343277,1.1125925925925926e-05,3.0,750,,,,,,,,,,
,,,3.0,750,0.051225610077381134,0.9563106796116505,80.7496,6.192,0.78,,,,,
0.005586277842521668,0.006756018381565809,1.0385185185185188e-05,3.2,800,,,,,,,,,,
0.0044748041033744815,0.013103382661938667,9.644444444444444e-06,3.4,850,,,,,,,,,,
0.004718173146247864,0.004752672277390957,8.903703703703704e-06,3.6,900,,,,,,,,,,
0.003373238742351532,0.008075345307588577,8.162962962962964e-06,3.8,950,,,,,,,,,,
0.003136436939239502,0.011890667490661144,7.422222222222223e-06,4.0,1000,,,,,,,,,,
,,,4.0,1000,0.054151635617017746,0.9605582524271844,63.4464,7.881,0.993,,,,,
0.0011969152837991714,0.010948975570499897,6.681481481481482e-06,4.2,1050,,,,,,,,,,
0.0018669377267360688,0.06984112411737442,5.940740740740741e-06,4.4,1100,,,,,,,,,,
0.0021763378381729126,0.011542435735464096,5.2e-06,4.6,1150,,,,,,,,,,
0.001420758217573166,0.015484260395169258,4.45925925925926e-06,4.8,1200,,,,,,,,,,
0.002322569638490677,0.027873927727341652,3.718518518518519e-06,5.0,1250,,,,,,,,,,
,,,5.0,1250,0.05535906180739403,0.9548894943990313,66.5571,7.512,0.947,,,,,
0.0008355212211608886,0.14854247868061066,2.9777777777777777e-06,5.2,1300,,,,,,,,,,
0.0007574193179607392,0.019130002707242966,2.2370370370370373e-06,5.4,1350,,,,,,,,,,
0.0009586466848850251,0.005019213072955608,1.4962962962962964e-06,5.6,1400,,,,,,,,,,
0.00047158539295196535,0.048304662108421326,7.555555555555556e-07,5.8,1450,,,,,,,,,,
0.0010023295134305955,0.02873365953564644,1.4814814814814816e-08,6.0,1500,,,,,,,,,,
,,,6.0,1500,0.055722758173942566,0.9545454545454545,86.1331,5.805,0.731,,,,,
,,,6.0,1500,,,,,,8013.5098,1.497,0.187,783939879936000.0,0.10251270453631878
